name,organization,homepage,logo,twitter,crunchbase_url,funding,member,relation,tag,license,headquarters,description,crunchbase_description,crunchbase_homepage,crunchbase_city,crunchbase_region,crunchbase_country,crunchbase_twitter,crunchbase_linkedin,crunchbase_ticker,crunchbase_kind,crunchbase_min_employees,crunchbase_max_employees,category,subcategory,oss,github_repo,github_stars,github_description,github_latest_commit_date,github_latest_commit_link,github_latest_release_date,github_latest_release_link,github_start_commit_date,github_start_commit_link,github_contributors_count,github_contributors_link,accepted,incubation,graduated,dev_stats_url,artwork_url,blog_url,mailing_list_url,slack_url,youtube_url,chat_channel,last_audit_date,last_audit_url
"Alluxio,",,https://github.com/Alluxio/alluxio,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,,,,,,,,,,,,,,,,,,,,,Storage,Data Architecture,,,,,,,,,,,,,,,,,,,,,,,,
Apache Druid,,https://druid.apache.org/,logos/e77a57be204261f1791c8dc3cbd1744113456b6bbaaf50783f28d3c7767b9752.svg,,,,,,,,,,,,,,,,,,,,,Storage,Data Architecture,,,,,,,,,,,,,,,,,,,,,,,,
Apache Flink,,https://flink.apache.org/,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,,,,,,,,,,,,,,,,,,,,,Storage,Data Architecture,,,,,,,,,,,,,,,,,,,,,,,,
Apache HBase,,https://hbase.apache.org/,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,,,,,,,,,,,,,,,,,,,,,Storage,Data Architecture,,,,,,,,,,,,,,,,,,,,,,,,
Apache Pinot,,https://pinot.apache.org/,logos/e77a57be204261f1791c8dc3cbd1744113456b6bbaaf50783f28d3c7767b9752.svg,,,,,,,,,,,,,,,,,,,,,Storage,Data Architecture,,,,,,,,,,,,,,,,,,,,,,,,
Apache Spark,,https://spark.apache.org/,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,,,,,,,,,,,,,,,,,,,,,Storage,Data Architecture,,,,,,,,,,,,,,,,,,,,,,,,
Apache Zeppelin,,https://zeppelin.apache.org/,logos/e77a57be204261f1791c8dc3cbd1744113456b6bbaaf50783f28d3c7767b9752.svg,,,,,,,,,,,,,,,,,,,,,Datascience,Data Science,,,,,,,,,,,,,,,,,,,,,,,,
Apla,,https://github.com/alpa-projects/alpa,logos/e77a57be204261f1791c8dc3cbd1744113456b6bbaaf50783f28d3c7767b9752.svg,,,,,,,,,,,,,,,,,,,,,Observability,Distributed Training,,,,,,,,,,,,,,,,,,,,,,,,
Armada,,https://armadaproject.io/,logos/e77a57be204261f1791c8dc3cbd1744113456b6bbaaf50783f28d3c7767b9752.svg,,,,,,,,,,,,,,,,,,,,,Provisioning,General Orchestration,,,,,,,,,,,,,,,,,,,,,,,,
BentoML,,https://github.com/bentoml/BentoML,logos/e77a57be204261f1791c8dc3cbd1744113456b6bbaaf50783f28d3c7767b9752.svg,,,,,,,,,,,,,,,,,,,,,CI/CD,CI/CD - Delivery,,,,,,,,,,,,,,,,,,,,,,,,
Cassandra,,https://cassandra.apache.org/,logos/e77a57be204261f1791c8dc3cbd1744113456b6bbaaf50783f28d3c7767b9752.svg,,,,,,,,,,,,,,,,,,,,,Storage,Data Architecture,,,,,,,,,,,,,,,,,,,,,,,,
Chroma,,https://www.trychroma.com/,logos/e77a57be204261f1791c8dc3cbd1744113456b6bbaaf50783f28d3c7767b9752.svg,,,,,,,,,,,,,,,,,,,,,Storage,Vector Databases,,,,,,,,,,,,,,,,,,,,,,,,
ClickHouse,,https://github.com/ClickHouse/ClickHouse,logos/e77a57be204261f1791c8dc3cbd1744113456b6bbaaf50783f28d3c7767b9752.svg,,,,,,,,,,,,,,,,,,,,,Storage,Data Architecture,,,,,,,,,,,,,,,,,,,,,,,,
Deepchecks,,https://github.com/deepchecks/deepchecks,logos/e77a57be204261f1791c8dc3cbd1744113456b6bbaaf50783f28d3c7767b9752.svg,,,,,,,,,,,,,,,,,,,,,Observability,Model/LLM Observability,,,,,,,,,,,,,,,,,,,,,,,,
DeepSpeed,,https://github.com/microsoft/DeepSpeed,logos/e77a57be204261f1791c8dc3cbd1744113456b6bbaaf50783f28d3c7767b9752.svg,,,,,,,,,,,,,,,,,,,,,Observability,Distributed Training,,,,,,,,,,,,,,,,,,,,,,,,
Flame,,https://github.com/flame-sh/flame,logos/e77a57be204261f1791c8dc3cbd1744113456b6bbaaf50783f28d3c7767b9752.svg,,,,,,,,,,,,,,,,,,,,,Provisioning,General Orchestration,,,,,,,,,,,,,,,,,,,,,,,,
Fluid,,https://fluid-cloudnative.github.io/,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,,,,,,,,,,,,,,,,,,,,,Storage,Data Architecture,,,,,,,,,,,,,,,,,,,,,,,,
Grafana,,https://github.com/grafana/grafana,logos/e77a57be204261f1791c8dc3cbd1744113456b6bbaaf50783f28d3c7767b9752.svg,,,,,,,,,,,,,,,,,,,,,Observability,Workload Observability,,,,,,,,,,,,,,,,,,,,,,,,
Hadoop HDFS,,https://hadoop.apache.org/,logos/e77a57be204261f1791c8dc3cbd1744113456b6bbaaf50783f28d3c7767b9752.svg,,,,,,,,,,,,,,,,,,,,,Storage,Data Architecture,,,,,,,,,,,,,,,,,,,,,,,,
Horovod,,https://github.com/horovod/horovod,logos/e77a57be204261f1791c8dc3cbd1744113456b6bbaaf50783f28d3c7767b9752.svg,,,,,,,,,,,,,,,,,,,,,Observability,Distributed Training,,,,,,,,,,,,,,,,,,,,,,,,
Hyperopt,,https://hyperopt.github.io/hyperopt/,logos/e77a57be204261f1791c8dc3cbd1744113456b6bbaaf50783f28d3c7767b9752.svg,,,,,,,,,,,,,,,,,,,,,Automation,AutoML,,,,,,,,,,,,,,,,,,,,,,,,
Influxdb,,https://github.com/influxdata/influxdb,logos/e77a57be204261f1791c8dc3cbd1744113456b6bbaaf50783f28d3c7767b9752.svg,,,,,,,,,,,,,,,,,,,,,Observability,Workload Observability,,,,,,,,,,,,,,,,,,,,,,,,
Jupyter,,https://jupyter.org/,logos/e77a57be204261f1791c8dc3cbd1744113456b6bbaaf50783f28d3c7767b9752.svg,,,,,,,,,,,,,,,,,,,,,Datascience,Data Science,,,,,,,,,,,,,,,,,,,,,,,,
Kafka,,https://flink.apache.org/,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,,,,,,,,,,,,,,,,,,,,,Storage,Data Architecture,,,,,,,,,,,,,,,,,,,,,,,,
Kserve,,https://github.com/kserve/kserve,logos/e77a57be204261f1791c8dc3cbd1744113456b6bbaaf50783f28d3c7767b9752.svg,,,,,,,,,,,,,,,,,,,,,ML-Serving,ML Serving,,,,,,,,,,,,,,,,,,,,,,,,
Kubeflow Katib,,https://www.kubeflow.org/docs/components/katib/overview/,logos/e77a57be204261f1791c8dc3cbd1744113456b6bbaaf50783f28d3c7767b9752.svg,,,,,,,,,,,,,,,,,,,,,Automation,AutoML,,,,,,,,,,,,,,,,,,,,,,,,
Kubeflow Notebooks,,https://www.kubeflow.org/docs/components/notebooks/,logos/e77a57be204261f1791c8dc3cbd1744113456b6bbaaf50783f28d3c7767b9752.svg,,,,,,,,,,,,,,,,,,,,,Datascience,Data Science,,,,,,,,,,,,,,,,,,,,,,,,
Kubeflow Pipelines,,https://www.kubeflow.org/docs/components/pipelines/v1/introduction/,logos/e77a57be204261f1791c8dc3cbd1744113456b6bbaaf50783f28d3c7767b9752.svg,,,,,,,,,,,,,,,,,,,,,CI/CD,CI/CD - Delivery,,,,,,,,,,,,,,,,,,,,,,,,
Kubeflow Training Operator,,https://www.kubeflow.org/docs/components/training/,logos/e77a57be204261f1791c8dc3cbd1744113456b6bbaaf50783f28d3c7767b9752.svg,,,,,,,,,,,,,,,,,,,,,Observability,Distributed Training,,,,,,,,,,,,,,,,,,,,,,,,
Kuberay,,https://github.com/ray-project/kuberay,logos/e77a57be204261f1791c8dc3cbd1744113456b6bbaaf50783f28d3c7767b9752.svg,,,,,,,,,,,,,,,,,,,,,Provisioning,General Orchestration,,,,,,,,,,,,,,,,,,,,,,,,
Kubernetes,,https://kubernetes.io/,logos/e77a57be204261f1791c8dc3cbd1744113456b6bbaaf50783f28d3c7767b9752.svg,,,,,,,,,,,,,,,,,,,,,Provisioning,General Orchestration,,,,,,,,,,,,,,,,,,,,,,,,
Kueue,,https://github.com/kubernetes-sigs/kueue,logos/e77a57be204261f1791c8dc3cbd1744113456b6bbaaf50783f28d3c7767b9752.svg,,,,,,,,,,,,,,,,,,,,,Provisioning,General Orchestration,,,,,,,,,,,,,,,,,,,,,,,,
Kyverno,,https://kyverno.io,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,,,,,,,,,,,,,,,,,,,,,"Governance, Policy & Security","Governance, Policy & Security",,,,,,,,,,,,,,,,,,,,,,,,
Kyverno-JSON,,https://kyverno.github.io/kyverno-json/latest/,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,,,,,,,,,,,,,,,,,,,,,"Governance, Policy & Security","Governance, Policy & Security",,,,,,,,,,,,,,,,,,,,,,,,
Langfuse,,https://github.com/langfuse/langfuse,logos/e77a57be204261f1791c8dc3cbd1744113456b6bbaaf50783f28d3c7767b9752.svg,,,,,,,,,,,,,,,,,,,,,Observability,Model/LLM Observability,,,,,,,,,,,,,,,,,,,,,,,,
Megatron,,https://github.com/NVIDIA/Megatron-LM,logos/e77a57be204261f1791c8dc3cbd1744113456b6bbaaf50783f28d3c7767b9752.svg,,,,,,,,,,,,,,,,,,,,,Observability,Distributed Training,,,,,,,,,,,,,,,,,,,,,,,,
Memcached,,https://memcached.org/,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,,,,,,,,,,,,,,,,,,,,,Storage,Data Architecture,,,,,,,,,,,,,,,,,,,,,,,,
Milvus,,https://milvus.io/,logos/e77a57be204261f1791c8dc3cbd1744113456b6bbaaf50783f28d3c7767b9752.svg,,,,,,,,,,,,,,,,,,,,,Storage,Vector Databases,,,,,,,,,,,,,,,,,,,,,,,,
Mlflow,,https://mlflow.org/,logos/e77a57be204261f1791c8dc3cbd1744113456b6bbaaf50783f28d3c7767b9752.svg,,,,,,,,,,,,,,,,,,,,,CI/CD,CI/CD - Delivery,,,,,,,,,,,,,,,,,,,,,,,,
MLRun,,https://www.mlrun.org/,logos/e77a57be204261f1791c8dc3cbd1744113456b6bbaaf50783f28d3c7767b9752.svg,,,,,,,,,,,,,,,,,,,,,CI/CD,CI/CD - Delivery,,,,,,,,,,,,,,,,,,,,,,,,
Nivida NeMo,,https://github.com/NVIDIA/NeMo,logos/e77a57be204261f1791c8dc3cbd1744113456b6bbaaf50783f28d3c7767b9752.svg,,,,,,,,,,,,,,,,,,,,,Provisioning,General Orchestration,,,,,,,,,,,,,,,,,,,,,,,,
OPA/Gatekeeper,,https://www.openpolicyagent.org/,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,,,,,,,,,,,,,,,,,,,,,"Governance, Policy & Security","Governance, Policy & Security",,,,,,,,,,,,,,,,,,,,,,,,
Open MPI,,https://www-lb.open-mpi.org/,logos/e77a57be204261f1791c8dc3cbd1744113456b6bbaaf50783f28d3c7767b9752.svg,,,,,,,,,,,,,,,,,,,,,Observability,Distributed Training,,,,,,,,,,,,,,,,,,,,,,,,
OpenLLMetry,,https://github.com/traceloop/openllmetry,logos/e77a57be204261f1791c8dc3cbd1744113456b6bbaaf50783f28d3c7767b9752.svg,,,,,,,,,,,,,,,,,,,,,Observability,Model/LLM Observability,,,,,,,,,,,,,,,,,,,,,,,,
Optuna,,https://optuna.org/,logos/e77a57be204261f1791c8dc3cbd1744113456b6bbaaf50783f28d3c7767b9752.svg,,,,,,,,,,,,,,,,,,,,,Automation,AutoML,,,,,,,,,,,,,,,,,,,,,,,,
Presto,,https://github.com/prestodb/presto,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,,,,,,,,,,,,,,,,,,,,,Storage,Data Architecture,,,,,,,,,,,,,,,,,,,,,,,,
Prometheus,,https://prometheus.io/,logos/e77a57be204261f1791c8dc3cbd1744113456b6bbaaf50783f28d3c7767b9752.svg,,,,,,,,,,,,,,,,,,,,,Observability,Workload Observability,,,,,,,,,,,,,,,,,,,,,,,,
Pulsar,,https://pulsar.apache.org/,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,,,,,,,,,,,,,,,,,,,,,Storage,Data Architecture,,,,,,,,,,,,,,,,,,,,,,,,
PyTorch,,https://pytorch.org/,logos/e77a57be204261f1791c8dc3cbd1744113456b6bbaaf50783f28d3c7767b9752.svg,,,,,,,,,,,,,,,,,,,,,Datascience,Data Science,,,,,,,,,,,,,,,,,,,,,,,,
Pytorch DDP,,https://pytorch.org/tutorials/intermediate/ddp_tutorial.html,logos/e77a57be204261f1791c8dc3cbd1744113456b6bbaaf50783f28d3c7767b9752.svg,,,,,,,,,,,,,,,,,,,,,Observability,Distributed Training,,,,,,,,,,,,,,,,,,,,,,,,
Redis,,https://github.com/redis/redis,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,,,,,,,,,,,,,,,,,,,,,Storage,Data Architecture,,,,,,,,,,,,,,,,,,,,,,,,
ScyllaDB,,https://github.com/scylladb/scylladb,logos/e77a57be204261f1791c8dc3cbd1744113456b6bbaaf50783f28d3c7767b9752.svg,,,,,,,,,,,,,,,,,,,,,Storage,Data Architecture,,,,,,,,,,,,,,,,,,,,,,,,
Seldom,,https://github.com/SeldonIO/seldon-core,logos/e77a57be204261f1791c8dc3cbd1744113456b6bbaaf50783f28d3c7767b9752.svg,,,,,,,,,,,,,,,,,,,,,ML-Serving,ML Serving,,,,,,,,,,,,,,,,,,,,,,,,
Stacklock Minder,,https://stacklok.com/minder,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,,,,,,,,,,,,,,,,,,,,,"Governance, Policy & Security","Governance, Policy & Security",,,,,,,,,,,,,,,,,,,,,,,,
TensorFlow,,https://www.tensorflow.org/,logos/e77a57be204261f1791c8dc3cbd1744113456b6bbaaf50783f28d3c7767b9752.svg,,,,,,,,,,,,,,,,,,,,,Datascience,Data Science,,,,,,,,,,,,,,,,,,,,,,,,
Tensorflow Distributed,,https://www.tensorflow.org/guide/distributed_training,logos/e77a57be204261f1791c8dc3cbd1744113456b6bbaaf50783f28d3c7767b9752.svg,,,,,,,,,,,,,,,,,,,,,Observability,Distributed Training,,,,,,,,,,,,,,,,,,,,,,,,
TFX,,https://www.tensorflow.org/tfx,logos/e77a57be204261f1791c8dc3cbd1744113456b6bbaaf50783f28d3c7767b9752.svg,,,,,,,,,,,,,,,,,,,,,CI/CD,CI/CD - Delivery,,,,,,,,,,,,,,,,,,,,,,,,
TGI,,https://github.com/huggingface/text-generation-inference,logos/e77a57be204261f1791c8dc3cbd1744113456b6bbaaf50783f28d3c7767b9752.svg,,,,,,,,,,,,,,,,,,,,,ML-Serving,ML Serving,,,,,,,,,,,,,,,,,,,,,,,,
Torchx,,https://pytorch.org/torchx/latest/,logos/e77a57be204261f1791c8dc3cbd1744113456b6bbaaf50783f28d3c7767b9752.svg,,,,,,,,,,,,,,,,,,,,,Observability,Distributed Training,,,,,,,,,,,,,,,,,,,,,,,,
Trino,,https://trino.io/,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,,,,,,,,,,,,,,,,,,,,,Storage,Data Architecture,,,,,,,,,,,,,,,,,,,,,,,,
Trulens,,https://www.trulens.org/,logos/e77a57be204261f1791c8dc3cbd1744113456b6bbaaf50783f28d3c7767b9752.svg,,,,,,,,,,,,,,,,,,,,,Observability,Model/LLM Observability,,,,,,,,,,,,,,,,,,,,,,,,
vLLM,,https://github.com/vllm-project/vllm,logos/e77a57be204261f1791c8dc3cbd1744113456b6bbaaf50783f28d3c7767b9752.svg,,,,,,,,,,,,,,,,,,,,,ML-Serving,ML Serving,,,,,,,,,,,,,,,,,,,,,,,,
Volcano,,https://volcano.sh/,logos/e77a57be204261f1791c8dc3cbd1744113456b6bbaaf50783f28d3c7767b9752.svg,,,,,,,,,,,,,,,,,,,,,Provisioning,General Orchestration,,,,,,,,,,,,,,,,,,,,,,,,
Weaviate,,https://github.com/weaviate/weaviate,logos/e77a57be204261f1791c8dc3cbd1744113456b6bbaaf50783f28d3c7767b9752.svg,,,,,,,,,,,,,,,,,,,,,Storage,Vector Databases,,,,,,,,,,,,,,,,,,,,,,,,
Weight and Biases,,https://wandb.ai/,logos/e77a57be204261f1791c8dc3cbd1744113456b6bbaaf50783f28d3c7767b9752.svg,,,,,,,,,,,,,,,,,,,,,Observability,Workload Observability,,,,,,,,,,,,,,,,,,,,,,,,
Yunikorn,,https://yunikorn.apache.org/,logos/e77a57be204261f1791c8dc3cbd1744113456b6bbaaf50783f28d3c7767b9752.svg,,,,,,,,,,,,,,,,,,,,,Provisioning,General Orchestration,,,,,,,,,,,,,,,,,,,,,,,,
